name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
"Творог Домашний Рассыпчатый Президент 0,1% 0,20 кг",4870207313960,pcs,570,,,,
"Творог Домашний Рассыпчатый Президент 5% 0,20 кг",4870207313977,pcs,640,,,,
"Творог Домашний Рассыпчатый Президент 5% 0,45 кг",4870207314004,pcs,"1,100",,,,
"Творог Домашний Рассыпчатый Президент 9% 0,45 кг",4870207314011,pcs,"1,170",,,,
"Йогурт греческий Ваниль  7,0% 0,130 кг",4870207313724,pcs,360,,,,
"Йогурт греческий  Клубника   7,2% 0,130 кг",4870207313335,pcs,360,,,,
"Йогурт греческий  Миндаль-Фисташки  7,9% 0,130 кг",4870207313342,pcs,360,,,,
"Йогурт греческий  Натуральный   8,4% 0,130 кг",4870207313328,pcs,360,,,,
"Йогурт греческий  Натуральный   8,4% 0,300кг",4870207314394,pcs,650,,,,
"Йогурт Клубника   1,5% 0,110гр",4870207313366,pcs,235,,,,
"Йогурт Персик   1,5% 0,110гр",4870207313533,pcs,240,,,,
"Йогурт Вишня    1,5% 0,110гр",4870207313540,pcs,240,,,,
Сыр Мастер Голландский 45 % пленка.,2500203970011,kg,"6,765",,,,
Сыр Мастер Российский 50 % пленка.,2500203980010,kg,"6,765",,,,
Сыр плав. Президент 140 гр 45 % Сливочный круг.,4607037120013,pcs,"1,080",,,,
Сыр плав. Президент 200 гр 45 % Сливочный ванна.,4607037120020,pcs,"1,235",,,,
Сыр плавленый Президент с запеченной курицей 45 % 400 гр.,4607037123908,pcs,"2,115",,,,
Сыр плавленый Президент с запеченной колбасками 45 % 400 гр.,4607037123922,pcs,"2,115",,,,
Сыр плавленый Президент Бри  45 % 200 гр.,4607037122840,pcs,"1,300",,,,
Сыр плав. Президент 400 гр 45 % Мааздам ванна.,4607037123892,pcs,"2,115",,,,
Сыр плав. Президент 140 гр 45 % Чеддер круг.,4607037122598,pcs,"1,080",,,,
Сыр плав. Президент 140 гр 45 % Ветчина круг.,4607037120051,pcs,855,,,,
"Творожок взбитый Снежок 3,8 % 0,1 кг.",4870207313359,pcs,300,,,,
"Творожок Сузбеше ФМ Клубника 4 % 0,1 кг.",4870055002481,pcs,325,,,,
"Творожок Сузбеше ФМ Персик 4 % 0,1 кг.",4870055002504,pcs,325,,,,
"Ряженка ФМ 2,5 % 0,5 кг.",4870055000043,pcs,400,,,,
"Молоко цельное сгущенное с сахаром,жирность 8,5 % 380 гр.",4870035005778,pcs,925,,,,
"Молоко цельное сгущенное с сахаром,жирность 8,5 % 270 гр.",4870035000735,pcs,735,,,,
Сыр Сментанковый вес,2500203670010,kg,"3,510",,,,
"Ряженка ФМ 2,5 % 1,0 кг.",4870055006144,pcs,705,,,,
"Лактель ФМ молоко с витамином Д 1,5 % 1л.",4870055002672,pcs,660,,,,
"Му-у молочный коктейль ФМ Ваниль 2 % 0,200 мл",4870207314554,pcs,350,,,,
"Му-у молочный коктейль ФМ Клубника 2 % 0,200 мл",4870207314561,pcs,350,,,,
Му-у молочный коктейль ФМ Клубника 2 % 1л.,4870207314929,pcs,965,,,,
"Му-у молочный коктейль ФМ Персик 2 % 0,200 мл",4870207314578,pcs,350,,,,
"Му-у молочный коктейль ФМ Шоколад 2 % 0,200 мл",4870055000890,pcs,350,,,,
Му-у молочный коктейль ФМ Шоколад 2 % 1л,4870207315063,pcs,965,,,,
"Сливки Президент 11 % 0,20 гр",4601662006490,pcs,690,,,,
"Сливки Президент 11 % 0,50 гр",4601662006476,pcs,"1,220",,,,
"Сливки Президент для соуса 23 % 0,50 гр.",4601662006438,pcs,"1,880",,,,
"Сыр рассольный Брынза Президент 0,25 кг. 45 % .",8606002113131,pcs,"1,805",,,,
"Сыр рассольный Фета Салакис Президент 0,25 кг. 45 % .",4606002110291 8606002110291,pcs,"2,100",,,,
Каймак Домашний 485 гр Айжан ИП,2500204510018,pcs,"1,940",,,,
Каймак Домашний 340 гр Айжан ИП,2500204520017,pcs,"1,365",,,,
Каймак Домашний 245гр Айжан ИП,2500204530016,pcs,990,,,,
Каймак Домашний 195гр Айжан ИП,2500204540015,pcs,785,,,,
Курт Домашний вар Айжан ИП,2500204550014,kg,"5,500",,,,
Курт Домашний сол  Айжан ИП,2500204560013,kg,"4,250",,,,
Сметана домашний 285 гр. Султан-Ата.,4870001029487,pcs,"1,140",,,,
