Номенклатура,Штрихкоды,Ед.,Основной тип цен
"Йогурт греческий  Натуральный   8,4% 0,300кг",4870207314394,шт,650
"Йогурт Клубника   1,5% 0,110гр",4870207313366,шт,235
"Йогурт Персик   1,5% 0,110гр",4870207313533,шт,240
"Йогурт Вишня    1,5% 0,110гр",4870207313540,шт,240
Сыр Мастер Голландский 45 % пленка.,2500203970011,кг,"6,765"
Сыр Мастер Российский 50 % пленка.,2500203980010,кг,"6,765"
Сыр плав. Президент 140 гр 45 % Сливочный круг.,4607037120013,шт,"1,080"
Сыр плав. Президент 200 гр 45 % Сливочный ванна.,4607037120020,шт,"1,235"
Сыр плавленый Президент с запеченной курицей 45 % 400 гр.,4607037123908,шт,"2,115"
Сыр плавленый Президент с запеченной колбасками 45 % 400 гр.,4607037123922,шт,"2,115"
Сыр плавленый Президент Бри  45 % 200 гр.,4607037122840,шт,"1,300"
Сыр плав. Президент 400 гр 45 % Мааздам ванна.,4607037123892,шт,"2,115"
Сыр плав. Президент 140 гр 45 % Чеддер круг.,4607037122598,шт,"1,080"
Сыр плав. Президент 140 гр 45 % Ветчина круг.,4607037120051,шт,855
"Творожок взбитый Снежок 3,8 % 0,1 кг.",4870207313359,шт,300
"Творожок Сузбеше ФМ Клубника 4 % 0,1 кг.",4870055002481,шт,325
"Творожок Сузбеше ФМ Персик 4 % 0,1 кг.",4870055002504,шт,325
"Ряженка ФМ 2,5 % 0,5 кг.",4870055000043,шт,400
"Молоко цельное сгущенное с сахаром,жирность 8,5 % 380 гр.",4870035005778,шт,925
"Молоко цельное сгущенное с сахаром,жирность 8,5 % 270 гр.",4870035000735,шт,735
Сыр Сментанковый вес,2500203670010,кг,"3,510"
"Ряженка ФМ 2,5 % 1,0 кг.",4870055006144,шт,705
"Лактель ФМ молоко с витамином Д 1,5 % 1л.",4870055002672,шт,660
"Му-у молочный коктейль ФМ Ваниль 2 % 0,200 мл",4870207314554,шт,350
"Му-у молочный коктейль ФМ Клубника 2 % 0,200 мл",4870207314561,шт,350
Му-у молочный коктейль ФМ Клубника 2 % 1л.,4870207314929,шт,965
"Му-у молочный коктейль ФМ Персик 2 % 0,200 мл",4870207314578,шт,350
"Му-у молочный коктейль ФМ Шоколад 2 % 0,200 мл",4870055000890,шт,350
Му-у молочный коктейль ФМ Шоколад 2 % 1л,4870207315063,шт,965
"Сливки Президент 11 % 0,20 гр",4601662006490,шт,690
"Сливки Президент 11 % 0,50 гр",4601662006476,шт,"1,220"
"Сливки Президент для соуса 23 % 0,50 гр.",4601662006438,шт,"1,880"
"Сыр рассольный Брынза Президент 0,25 кг. 45 % .",8606002113131,шт,"1,805"
"Сыр рассольный Фета Салакис Президент 0,25 кг. 45 % .",4606002110291 8606002110291,шт,"2,100"
Каймак Домашний 485 гр Айжан ИП,2500204510018,шт,"1,940"
Каймак Домашний 340 гр Айжан ИП,2500204520017,шт,"1,365"
Каймак Домашний 245гр Айжан ИП,2500204530016,шт,990
Каймак Домашний 195гр Айжан ИП,2500204540015,шт,785
