file,symbology,barcode,status
IMG_7039.HEIC,EAN13,4870028000773,ok
IMG_7040(1).HEIC,EAN13,4870028000773,ok
IMG_7041(1).HEIC,QRCode,https://www.instagram.com/masterkonditertoo/,ok
IMG_7041.HEIC,QRCode,https://www.instagram.com/masterkonditertoo/,ok
IMG_7040.HEIC,EAN13,4870028000773,ok
IMG_7042(1).HEIC,EAN13,4870203571586,ok
IMG_7042.HEIC,EAN13,4870203571586,ok
IMG_7043(1).HEIC,EAN13,4870203571555,ok
IMG_7043.HEIC,EAN13,4870203571555,ok
IMG_7044(1).HEIC,EAN13,4870203571555,ok
IMG_7044.HEIC,EAN13,4870203571555,ok
IMG_7045(1).HEIC,EAN13,4870203571609,ok
IMG_7045.HEIC,EAN13,4870203571609,ok
IMG_7046(1).HEIC,EAN13,4870203571609,ok
IMG_7046.HEIC,EAN13,4870203571609,ok
IMG_7050(1).HEIC,QRCode,https://me-qr.com/BUHZJ8BF,ok
IMG_7050.HEIC,QRCode,https://me-qr.com/BUHZJ8BF,ok
IMG_7049(1).HEIC,,,not_found
IMG_7049.HEIC,,,not_found
IMG_7052(1).HEIC,EAN13,4620017455004,ok
IMG_7052.HEIC,EAN13,4620017455004,ok
IMG_7051(1).HEIC,,,not_found
IMG_7051.HEIC,,,not_found
IMG_7054(1).HEIC,EAN13,4870066008885,ok
IMG_7054.HEIC,EAN13,4870066008885,ok
IMG_7053.HEIC,,,not_found
IMG_7053(1).HEIC,,,not_found
IMG_7055(1).HEIC,,,not_found
IMG_7055.HEIC,,,not_found
IMG_7056(1).HEIC,,,not_found
IMG_7056.HEIC,,,not_found
IMG_7058.HEIC,EAN13,5201360523795,ok
IMG_7058(1).HEIC,EAN13,5201360523795,ok
IMG_7057(1).HEIC,,,not_found
IMG_7057.HEIC,,,not_found
IMG_7060(1).HEIC,EAN13,5201360543205,ok
IMG_7060.HEIC,EAN13,5201360543205,ok
IMG_7059.HEIC,,,not_found
IMG_7059(1).HEIC,,,not_found
IMG_7061(1).HEIC,EAN13,5201360543472,ok
IMG_7061.HEIC,EAN13,5201360543472,ok
IMG_7062(1).HEIC,EAN13,5201360543472,ok
IMG_7062.HEIC,EAN13,5201360543472,ok
IMG_7064(1).HEIC,EAN13,5201360571208,ok
IMG_7064.HEIC,EAN13,5201360571208,ok
IMG_7063(1).HEIC,,,not_found
IMG_7063.HEIC,,,not_found
IMG_7066(1).HEIC,EAN13,5201360571703,ok
IMG_7066.HEIC,EAN13,5201360571703,ok
IMG_7065(1).HEIC,,,not_found
IMG_7065.HEIC,,,not_found
IMG_7068(1).HEIC,EAN13,5201360521210,ok
IMG_7068.HEIC,EAN13,5201360521210,ok
IMG_7067(1).HEIC,,,not_found
IMG_7067.HEIC,,,not_found
IMG_7070(1).HEIC,EAN13,5201360523795,ok
IMG_7070.HEIC,EAN13,5201360523795,ok
IMG_7069.HEIC,,,not_found
IMG_7069(1).HEIC,,,not_found
IMG_7072(1).HEIC,EAN13,4870207570820,ok
IMG_7072.HEIC,EAN13,4870207570820,ok
IMG_7071(1).HEIC,,,not_found
IMG_7071.HEIC,,,not_found
IMG_7074(1).HEIC,EAN13,4870207570844,ok
IMG_7074.HEIC,EAN13,4870207570844,ok
IMG_7073.HEIC,,,not_found
IMG_7073(1).HEIC,,,not_found
IMG_7076(1).HEIC,EAN13,7860471650813,ok
IMG_7076.HEIC,EAN13,7860471650813,ok
IMG_7075(1).HEIC,,,not_found
IMG_7075.HEIC,,,not_found
IMG_7078(1).HEIC,EAN13,4860111650640,ok
IMG_7078.HEIC,EAN13,4860111650640,ok
IMG_7077(1).HEIC,,,not_found
IMG_7077.HEIC,,,not_found
IMG_7080(1).HEIC,EAN13,4605825006327,ok
IMG_7080.HEIC,EAN13,4605825006327,ok
IMG_7079(1).HEIC,,,not_found
IMG_7079.HEIC,,,not_found
IMG_7082.HEIC,EAN13,4605825006402,ok
IMG_7082(1).HEIC,EAN13,4605825006402,ok
IMG_7081(1).HEIC,,,not_found
IMG_7081.HEIC,,,not_found
IMG_7084(1).HEIC,EAN13,4870227272971,ok
IMG_7084.HEIC,EAN13,4870227272971,ok
IMG_7083(1).HEIC,,,not_found
IMG_7083.HEIC,,,not_found
IMG_7086(1).HEIC,EAN13,4870227272957,ok
IMG_7086.HEIC,EAN13,4870227272957,ok
IMG_7085(1).HEIC,,,not_found
IMG_7085.HEIC,,,not_found
IMG_7087(1).HEIC,EAN13,4870207570585,ok
IMG_7087.HEIC,EAN13,4870207570585,ok
IMG_7088(1).HEIC,EAN13,4870207570585,ok
IMG_7088.HEIC,EAN13,4870207570585,ok
IMG_7090(1).HEIC,EAN13,4870207570875,ok
IMG_7090.HEIC,EAN13,4870207570875,ok
IMG_7089(1).HEIC,,,not_found
IMG_7089.HEIC,,,not_found
IMG_7092(1).HEIC,EAN13,7870747570851,ok
IMG_7092.HEIC,EAN13,7870747570851,ok
IMG_7091(1).HEIC,,,not_found
IMG_7091.HEIC,,,not_found
IMG_7094(1).HEIC,EAN13,8270740476768,ok
IMG_7094.HEIC,EAN13,8270740476768,ok
IMG_7093(1).HEIC,,,not_found
IMG_7093.HEIC,,,not_found
IMG_7096(1).HEIC,EAN13,4870144474045,ok
IMG_7096.HEIC,EAN13,4870144474045,ok
IMG_7095(1).HEIC,EAN13,4870144474045,ok
IMG_7095.HEIC,EAN13,4870144474045,ok
IMG_7098(1).HEIC,EAN13,4870144474052,ok
IMG_7098.HEIC,EAN13,4870144474052,ok
IMG_7097(1).HEIC,,,not_found
IMG_7097.HEIC,,,not_found
IMG_7099(1).HEIC,,,not_found
IMG_7099.HEIC,,,not_found
IMG_7100(1).HEIC,EAN13,4870144473703,ok
IMG_7100.HEIC,EAN13,4870144473703,ok
IMG_7102(1).HEIC,EAN13,4870144475813,ok
IMG_7102.HEIC,EAN13,4870144475813,ok
IMG_7101(1).HEIC,,,not_found
IMG_7101.HEIC,,,not_found
IMG_7104(1).HEIC,EAN13,4870144476872,ok
IMG_7104.HEIC,EAN13,4870144476872,ok
IMG_7103(1).HEIC,,,not_found
IMG_7103.HEIC,,,not_found
IMG_7106(1).HEIC,EAN13,4870144474748,ok
